lambda_1,lambda_tv,r2,mse
0.0001,1e-05,-2.476630089322944,3.9371519810742437
0.0001,1.2648552168552958e-05,-2.2667203515625003,3.6994371484239714
0.0001,1.5998587196060572e-05,-2.255323577872073,3.686530733602641
0.0001,2.0235896477251556e-05,-2.1184487802225065,3.5315252061580824
0.0001,2.559547922699533e-05,-2.002575977413263,3.400303642916684
0.0001,3.237457542817647e-05,-1.719462608643454,3.0796884690033353
0.0001,4.094915062380427e-05,-1.6632136407886913,3.0159886420062425
0.0001,5.1794746792312125e-05,-1.4929063743552948,2.823122109127512
0.0001,6.55128556859551e-05,-1.3809503849142875,2.6963361887690334
0.0001,8.286427728546843e-05,-1.324360842220007,2.6322506736573983
0.0001,0.00010481131341546853,-1.2773825074306124,2.579049487701013
0.0001,0.00013257113655901095,-1.2961952573462114,2.6003542148927625
0.0001,0.00016768329368110083,-1.2432167718229916,2.5403580853440255
0.0001,0.00021209508879201905,-1.2364830339535104,2.532732382087794
0.0001,0.0002682695795279727,-1.3338396936581138,2.6429851141238894
0.0001,0.000339322177189533,-1.3241059400392556,2.6319620065860843
0.0001,0.00042919342601287783,-1.2764869871048434,2.5780353448287174
0.0001,0.0005428675439323859,-1.2665412077579035,2.566772126179316
0.0001,0.0006866488450042998,-1.2476014763062286,2.545323597204381
0.0001,0.000868511373751353,-1.1776013766396711,2.4660511339291027
0.0001,0.0010985411419875584,-1.0745145187433551,2.349309169336533
0.0001,0.0013894954943731374,-0.9662276328610941,2.2266783698778734
0.0001,0.001757510624854793,-0.8173091130361734,2.058033782940667
0.0001,0.0022229964825261957,-0.6428350829037612,1.8604485478903627
0.0001,0.002811768697974231,-0.45102905477809374,1.6432354811519285
0.0001,0.0035564803062231283,-0.2974031356463136,1.4692599426810435
0.0001,0.004498432668969444,-0.17976406909535014,1.336038152607585
0.0001,0.005689866029018299,-0.15378372571916765,1.3066163971246925
0.0001,0.0071968567300115215,-0.1310259784010881,1.2808441096980445
0.0001,0.009102981779915217,-0.05664791288948123,1.1966137658150917
0.0001,0.011513953993264481,0.004563216183935848,1.12729447906229
0.0001,0.014563484775012445,0.06403999941986016,1.0599392733231467
0.0001,0.018420699693267165,0.10593843617823162,1.0124908796059822
0.0001,0.023299518105153717,0.121337907215467,0.9950515615468227
0.0001,0.029470517025518096,0.08460899347731898,1.0366456661169228
0.0001,0.037275937203149416,0.041398716202928454,1.0855796695635664
0.0001,0.04714866363457394,0.00810280293177501,1.1232860310484396
0.0001,0.05963623316594643,-0.004410599369004897,1.1374569855051126
0.0001,0.07543120063354623,-0.020931301309524253,1.1561660551221566
0.0001,0.09540954763499944,-0.027558022251098713,1.1636705657582673
0.0001,0.1206792640639329,-0.029982030512734514,1.1664156633626255
0.0001,0.15264179671752334,-0.035648861211482696,1.1728331346318606
0.0001,0.19306977288832497,-0.03823959832731627,1.1757670463526884
0.0001,0.244205309454865,-0.04104626044175763,1.1789454849613903
0.0001,0.30888435964774846,-0.044288176043966176,1.1826168316700636
0.0001,0.3906939937054621,-0.05401474444055032,1.1936318022156136
0.0001,0.49417133613238384,-0.05614048807924399,1.1960391264242036
0.0001,0.6250551925273976,-0.05614051640434936,1.1960391585013133
0.0001,0.7906043210907702,-0.056140522393528514,1.196039165283832
0.0001,1.0,-0.05614045780820143,1.1960390921433937
0.00514949494949495,1e-05,-0.3579720541063034,1.5378519502226666
0.00514949494949495,1.2648552168552958e-05,-0.3781672689347271,1.5607222666000504
0.00514949494949495,1.5998587196060572e-05,-0.40339671269587174,1.5892936566914642
0.00514949494949495,2.0235896477251556e-05,-0.41602544950326514,1.6035952231113122
0.00514949494949495,2.559547922699533e-05,-0.46409999663358015,1.658037828050691
0.00514949494949495,3.237457542817647e-05,-0.5920277083136074,1.8029111192938791
0.00514949494949495,4.094915062380427e-05,-0.7207538026674802,1.948688548695349
0.00514949494949495,5.1794746792312125e-05,-0.9420296704381557,2.1992750933590344
0.00514949494949495,6.55128556859551e-05,-1.061168763920913,2.3341956071547303
0.00514949494949495,8.286427728546843e-05,-1.0845493839717628,2.3606732743746774
0.00514949494949495,0.00010481131341546853,-1.094369363721781,2.3717940297422473
0.00514949494949495,0.00013257113655901095,-1.1114878978266964,2.3911801216567254
0.00514949494949495,0.00016768329368110083,-1.087849804086758,2.364410875229608
0.00514949494949495,0.00021209508879201905,-1.0400641283075172,2.3102954061611545
0.00514949494949495,0.0002682695795279727,-0.9959859052593123,2.260378486978571
0.00514949494949495,0.000339322177189533,-0.8917927633005209,2.142383697559575
0.00514949494949495,0.00042919342601287783,-0.8342715759937509,2.0772431301882857
0.00514949494949495,0.0005428675439323859,-0.8018956478096637,2.040578616991853
0.00514949494949495,0.0006866488450042998,-0.6987762201928178,1.9237997684235915
0.00514949494949495,0.000868511373751353,-0.5829253209140761,1.7926030101014088
0.00514949494949495,0.0010985411419875584,-0.4586898559161414,1.6519110484692308
0.00514949494949495,0.0013894954943731374,-0.33705518833458825,1.5141643914674554
0.00514949494949495,0.001757510624854793,-0.2889494728454045,1.4596864895414214
0.00514949494949495,0.0022229964825261957,-0.2618888979248859,1.4290414127227726
0.00514949494949495,0.002811768697974231,-0.16585141345772114,1.3202825967105345
0.00514949494949495,0.0035564803062231283,-0.06720585415866664,1.208570234670291
0.00514949494949495,0.004498432668969444,0.01320164378148836,1.1175117867840634
0.00514949494949495,0.005689866029018299,0.045281129097188844,1.0811829839153206
0.00514949494949495,0.0071968567300115215,0.05412131598492309,1.0711718068778213
0.00514949494949495,0.009102981779915217,-0.005491791389754308,1.1386813945440522
0.00514949494949495,0.011513953993264481,0.007872943279523925,1.1235463384041198
0.00514949494949495,0.014563484775012445,0.05797189552899884,1.066811171293725
0.00514949494949495,0.018420699693267165,0.08371303707672428,1.037660302827452
0.00514949494949495,0.023299518105153717,0.09782451297464567,1.0216795905112326
0.00514949494949495,0.029470517025518096,0.08281708373262242,1.0386749360766188
0.00514949494949495,0.037275937203149416,0.051197605066989005,1.0744827988260253
0.00514949494949495,0.04714866363457394,0.031231745751143958,1.097093378766826
0.00514949494949495,0.05963623316594643,0.019350312155618443,1.1105486525856565
0.00514949494949495,0.07543120063354623,0.004088345838706986,1.127832251753786
0.00514949494949495,0.09540954763499944,-0.00034411414219825964,1.1328518449076415
0.00514949494949495,0.1206792640639329,-0.007516628494537603,1.1409744459224351
0.00514949494949495,0.15264179671752334,-0.0009424746090660463,1.133529465487628
0.00514949494949495,0.19306977288832497,0.005440833311344595,1.126300610884478
0.00514949494949495,0.244205309454865,0.004619462142505415,1.1272307826431947
0.00514949494949495,0.30888435964774846,0.0024679853738928115,1.1296672486473842
0.00514949494949495,0.3906939937054621,-0.005879322874222215,1.1391202592816285
0.00514949494949495,0.49417133613238384,-0.007613621352286382,1.1410842866625266
0.00514949494949495,0.6250551925273976,-0.007613758861890529,1.1410844423869484
0.00514949494949495,0.7906043210907702,-0.007613815815841196,1.1410845068851416
0.00514949494949495,1.0,-0.007613720766470822,1.1410843992453275
0.010198989898989898,1e-05,-0.23456297543547344,1.3980958398261107
0.010198989898989898,1.2648552168552958e-05,-0.24202701726368758,1.4065485846726289
0.010198989898989898,1.5998587196060572e-05,-0.2533309559887855,1.4193498674096507
0.010198989898989898,2.0235896477251556e-05,-0.2606034209005459,1.4275856586497269
0.010198989898989898,2.559547922699533e-05,-0.2622340661503064,1.4294323026729838
0.010198989898989898,3.237457542817647e-05,-0.2808346291720829,1.4504967362390366
0.010198989898989898,4.094915062380427e-05,-0.3413375803816734,1.519014038366531
0.010198989898989898,5.1794746792312125e-05,-0.4055217009749743,1.5917001254839083
0.010198989898989898,6.55128556859551e-05,-0.4709583136434963,1.6658046124679786
0.010198989898989898,8.286427728546843e-05,-0.5269734844361897,1.7292396731418092
0.010198989898989898,0.00010481131341546853,-0.5908363109728136,1.801561906901408
0.010198989898989898,0.00013257113655901095,-0.7039299549947649,1.929636178011063
0.010198989898989898,0.00016768329368110083,-0.8222286605335891,2.0636049842700586
0.010198989898989898,0.00021209508879201905,-0.819040194581957,2.0599941672675226
0.010198989898989898,0.0002682695795279727,-0.8353379326451376,2.0784507387329603
0.010198989898989898,0.000339322177189533,-0.8304665403111415,2.072934071303404
0.010198989898989898,0.00042919342601287783,-0.8031002087645107,2.0419427366789793
0.010198989898989898,0.0005428675439323859,-0.7471098235645721,1.978535744750776
0.010198989898989898,0.0006866488450042998,-0.6881674754262626,1.9117857665306006
0.010198989898989898,0.000868511373751353,-0.6218936172979139,1.8367331307541335
0.010198989898989898,0.0010985411419875584,-0.5062696415569354,1.7057933547491093
0.010198989898989898,0.0013894954943731374,-0.4138572743513751,1.601139846820117
0.010198989898989898,0.001757510624854793,-0.32563168662890574,1.5012277081805396
0.010198989898989898,0.0022229964825261957,-0.2085316454573758,1.3686163439464603
0.010198989898989898,0.002811768697974231,-0.1427772258788833,1.2941519526662637
0.010198989898989898,0.0035564803062231283,-0.09607079308173483,1.2412586854242442
0.010198989898989898,0.004498432668969444,-0.04249965281063406,1.180591396806304
0.010198989898989898,0.005689866029018299,-0.0242326697923132,1.1599047299677165
0.010198989898989898,0.0071968567300115215,-0.0555001267908779,1.1953139415036576
0.010198989898989898,0.009102981779915217,-0.06735384199536942,1.20873782529382
0.010198989898989898,0.011513953993264481,-0.047335575886733094,1.1860678966438503
0.010198989898989898,0.014563484775012445,-0.025377963706472162,1.1612017319746002
0.010198989898989898,0.018420699693267165,0.023672320793442503,1.10565414139711
0.010198989898989898,0.023299518105153717,0.06137100957895192,1.0629618032931516
0.010198989898989898,0.029470517025518096,0.0529502086747915,1.0724980415785723
0.010198989898989898,0.037275937203149416,0.03149601620807452,1.0967941024773413
0.010198989898989898,0.04714866363457394,0.03378917932981962,1.0941971820412464
0.010198989898989898,0.05963623316594643,0.023202980173998244,1.1061856518834623
0.010198989898989898,0.07543120063354623,0.009459375422724126,1.1217497640505172
0.010198989898989898,0.09540954763499944,0.002672291711384278,1.1294358794534423
0.010198989898989898,0.1206792640639329,-0.004263040976435706,1.1372898812108099
0.010198989898989898,0.15264179671752334,0.0017091717429797981,1.1305265763622856
0.010198989898989898,0.19306977288832497,0.0083022810431862,1.123060129637779
0.010198989898989898,0.244205309454865,0.014698432509694603,1.1158167302048185
0.010198989898989898,0.30888435964774846,0.019666886244709803,1.1101901444125117
0.010198989898989898,0.3906939937054621,0.020956934645846692,1.1087292134282762
0.010198989898989898,0.49417133613238384,0.020808752233593575,1.108897024401251
0.010198989898989898,0.6250551925273976,0.020808674566164864,1.1088971123566742
0.010198989898989898,0.7906043210907702,0.02080874838043234,1.1088970287648103
0.010198989898989898,1.0,0.02080874729149995,1.108897029997985
0.015248484848484848,1e-05,-0.17879194740968107,1.3349372615946664
0.015248484848484848,1.2648552168552958e-05,-0.1863650857951038,1.3435135541627734
0.015248484848484848,1.5998587196060572e-05,-0.19620687511951962,1.3546590080478271
0.015248484848484848,2.0235896477251556e-05,-0.20683993863394257,1.3667005500022809
0.015248484848484848,2.559547922699533e-05,-0.2199090345008481,1.381500806388849
0.015248484848484848,3.237457542817647e-05,-0.223891330806409,1.3860106062196722
0.015248484848484848,4.094915062380427e-05,-0.24150163083049203,1.4059536044236116
0.015248484848484848,5.1794746792312125e-05,-0.3057761338829774,1.478742046254919
0.015248484848484848,6.55128556859551e-05,-0.36262469222023985,1.543120886778144
0.015248484848484848,8.286427728546843e-05,-0.4204749727519774,1.6086341397700916
0.015248484848484848,0.00010481131341546853,-0.46952558623919294,1.6641821029132475
0.015248484848484848,0.00013257113655901095,-0.5238283250671476,1.725677899204844
0.015248484848484848,0.00016768329368110083,-0.5756883680346516,1.7844074348937753
0.015248484848484848,0.00021209508879201905,-0.612754085031463,1.8263829564058591
0.015248484848484848,0.0002682695795279727,-0.7029742432724544,1.9285538706605094
0.015248484848484848,0.000339322177189533,-0.7412890368296217,1.971943924097983
0.015248484848484848,0.0005428675439323859,-0.6430630666987907,1.860706730908743
0.015248484848484848,0.0006866488450042998,-0.5865125237964541,1.79666538158529
0.015248484848484848,0.000868511373751353,-0.5040024920164268,1.7032258937091158
0.015248484848484848,0.0010985411419875584,-0.45821805484483,1.65137675161427
0.015248484848484848,0.0013894954943731374,-0.38688766986424095,1.5705977905739235
0.015248484848484848,0.001757510624854793,-0.303574295050439,1.4762485471196047
0.015248484848484848,0.0022229964825261957,-0.2484720423964799,1.4138473316827223
0.015248484848484848,0.002811768697974231,-0.1500362258758643,1.3023724954000169
0.015248484848484848,0.0035564803062231283,-0.09090340233750172,1.235406810999029
0.015248484848484848,0.004498432668969444,-0.04641950306150666,1.185030478843859
0.015248484848484848,0.005689866029018299,-0.07379011443540318,1.2160266602106655
0.015248484848484848,0.009102981779915217,-0.0824376408652685,1.2258196565720834
0.015248484848484848,0.011513953993264481,-0.05831564556628521,1.1985024099456667
0.015248484848484848,0.014563484775012445,-0.021301170118815715,1.1565849175486518
0.015248484848484848,0.018420699693267165,0.014015214083190397,1.1165904492121064
0.015248484848484848,0.023299518105153717,0.04255247988701949,1.084273075862827
0.015248484848484848,0.029470517025518096,0.03034985735721507,1.098092083992299
0.015248484848484848,0.037275937203149416,0.034843930016836167,1.0930027168119198
0.015248484848484848,0.04714866363457394,0.03598615997738863,1.091709184616521
0.015248484848484848,0.05963623316594643,0.02773092130269994,1.1010579299438161
